n,a,amplitude,lambda_min
1933,3.7834142396041655,0.3442135468318653,-39.10919448960254
1949,3.7875358497537803,0.3431711925915261,-39.283543527390336
1951,3.7880486703115555,0.3430416929547665,-39.30528543239653
1973,3.7936552530113077,0.34162867039148503,-39.54369446054584
1979,3.7951734728012827,0.34124690879662267,-39.6084782640922
1987,3.7971906212759086,0.3407402653772616,-39.694701194985825
1993,3.7986981601063974,0.3403620481577777,-39.75925299932452
1997,3.7997006667079076,0.34011073817799414,-39.802233147733446
1999,3.8002011672502,0.33998533248613994,-39.82370702417948
2003,3.801200667832909,0.33973501779121396,-39.866622586489044
2011,3.803193694886326,0.3392363645541077,-39.95232613531779
2017,3.8046832689771057,0.33886409192931954,-40.01649354249226
2027,3.807156073226,0.3382468789028677,-40.12323280197645
2029,3.8076491699129074,0.3381239191931194,-40.14455010072078
2039,3.8101073852872274,0.33751151514239447,-40.25098633659145
2048,3.8123094930796992,0.030633066983392097,-40.289022962790185
2053,3.813528708509467,0.33666078890360734,-40.39958449195726
2063,3.815958256535626,0.3360578097629126,-40.50543863938912
2069,3.8174103388727714,0.3356978744240991,-40.56883857512283
2081,3.820301913196817,0.3349821280404214,-40.695389738860115
2083,3.820782220630486,0.3348633676697017,-40.71644973960052
2087,3.8217414535386003,0.33462629879937317,-40.75854269875211
2089,3.822220380778283,0.3345079896363973,-40.77957571103829
2099,3.8246081599103166,0.33391868336948693,-40.884607078119174
2111,3.82745852392416,0.33321639985458246,-41.01035329959529
2113,3.827932008808028,0.33309986608814185,-41.031280330483874
2129,3.8317038324467396,0.33217282037977924,-41.19838309563763
2131,3.8321733160493086,0.33205758801558244,-41.219231857682786
2137,3.833579127659574,0.33171274793833055,-41.28172611391256
2141,3.8345141442948414,0.3314835656619332,-41.32334559284274
2143,3.8349809977367886,0.33136918693990436,-41.34414231987851
2153,3.8373087486821813,0.33079940537587077,-41.44799567321516
2161,3.8391631782534428,0.33034609657243524,-41.53092164599032
2179,3.84331066747231,0.32933422638667903,-41.716992584585746
2187,3.845143010338384,0.04698400745167141,-41.751646669540726
2197,3.847424036192305,0.10944445476089922,-41.86538795323772
2203,3.8487876734011714,0.3280021539838799,-41.9639707382262
2207,3.8496947031283684,0.32778201015132963,-42.00500832480158
2209,3.8501476017100584,0.16383606815787483,-41.99801625382884
2213,3.851052170025525,0.3274527834320177,-42.066496975869704
2221,3.8528564119472137,0.32701564917131637,-42.14835495699352
2237,3.856445480745065,0.3261476062077141,-42.311633722459305
2239,3.8568923082993773,0.3260396792772299,-42.33200244913486
2243,3.857784767260104,0.32582420813843005,-42.37271244168518
2251,3.859564920453366,0.3253947894372921,-42.45402253502889
2267,3.8631063252537645,0.32454198847988847,-42.616203406721574
2269,3.8635472423899206,0.3244359492946764,-42.63643490940202
2273,3.8644279119262714,0.3242242421005607,-42.67687058845567
2281,3.866184611142194,0.3238023054177175,-42.75763292358942
2287,3.8674980970113904,0.32348713807959073,-42.8181096591293
2293,3.868808141428952,0.3231730649373477,-42.87850538241854
2297,3.869679601344549,0.32296428747648764,-42.9187244114914
2309,3.872284904677248,0.32234083608368463,-43.03916818821994
2311,3.8727178051371904,0.3222373451483126,-43.059211261756914
2333,3.877455136010715,0.3211067266847057,-43.279111902930744
2339,3.8787393832920896,0.32080082780864133,-43.33890514652442
2341,3.879166733745455,0.32069909270397473,-43.35881938923492
2347,3.880446597925512,0.320394577773086,-43.41851199777223
2351,3.8812980242700346,0.3201921408820335,-43.45826558974959
2357,3.8825724514680657,0.3198893406553343,-43.51783433268196
2371,3.885533543032703,0.3191867662416252,-43.65654441895133
2377,3.886797233680097,0.3188873455551228,-43.71587188583503
2381,3.8876379232434313,0.3186882882958742,-43.755384183155485
2383,3.888057738549371,0.3185889259797057,-43.7751286089235
2389,3.889315073662905,0.318291501716757,-43.83431531178013
2393,3.8901515439541865,0.3180937689843022,-43.87373455914469
2399,3.8914036314198475,0.31779799081925325,-43.932806096446285
2401,3.8918202981106265,0.07942490404307401,-43.9184071983786
2411,3.8938984390905853,0.31720936910874253,-44.05074508854027
2417,3.8951411903517417,0.3169165143575952,-44.10961371972012
2423,3.896380860408263,0.316624622948177,-44.168415823592845
2437,3.899261526812603,0.31594725856962125,-44.305364640775096
2441,3.90008153519648,0.31575467409846864,-44.34442756897153
2447,3.9013090317213357,0.3154665816048659,-44.40296793136235
2459,3.9037550211080965,0.3148932003521031,-44.51985518398817
2467,3.9053790582646783,0.3145130061823364,-44.59763743080608
2473,3.906593633760708,0.3142289333066997,-44.65589953906459
2477,3.9074017147446796,0.31404005936865104,-44.69470549583909
2503,3.9126226457158872,0.3128221746267269,-44.946253987278915
2521,3.91620546359396,0.3119888242700201,-45.119701435351296
2531,3.918184880272562,0.3115292597657866,-45.215812187601564
2539,3.919762790852339,0.3111633416724904,-45.29257227930602
2543,3.9205498827110596,0.3109809566156583,-45.330909379724865
