u,x,lnF
2.6022357724,0.2272357724,-46.1334989340
2.6032363977,0.2282363977,-45.1561353165
2.6042370231,0.2292370231,-44.6969639594
2.6052376485,0.2302376485,-44.4054617354
2.6062382739,0.2312382739,-44.1998682676
2.6072388993,0.2322388993,-44.0477476726
2.6082395247,0.2332395247,-43.9329113613
2.6092401501,0.2342401501,-43.8461353718
2.6102407755,0.2352407755,-43.7816953587
2.6112414009,0.2362414009,-43.7358287326
2.6122420263,0.2372420263,-43.7059669706
2.6132426517,0.2382426517,-43.6903187411
2.6142432770,0.2392432770,-43.6876294063
2.6152439024,0.2402439024,-43.6970366177
2.6162445278,0.2412445278,-43.7179821869
2.6172451532,0.2422451532,-43.7501594722
2.6182457786,0.2432457786,-43.7934853144
2.6192464040,0.2442464040,-43.8480911246
2.6202470294,0.2452470294,-43.9143314431
2.6212476548,0.2462476548,-43.9928114443
2.6222482802,0.2472482802,-44.0844385018
2.6232489056,0.2482489056,-44.1905083038
2.6242495310,0.2492495310,-44.3128453644
2.6252501563,0.2502501563,-44.4540358765
2.6262507817,0.2512507817,-44.6178290076
2.6272514071,0.2522514071,-44.8098708688
2.6282520325,0.2532520325,-45.0391624788
2.6292526579,0.2542526579,-45.3213083745
2.6302532833,0.2552532833,-45.6870791643
2.6312539087,0.2562539087,-46.2120765601
2.6322545341,0.2572545341,-47.1993368224
2.6332551595,0.2582551595,-47.8934914568
2.6342557849,0.2592557849,-46.6098846797
2.6352564103,0.2602564103,-46.1337996759
2.6362570356,0.2612570356,-45.8661800376
2.6372576610,0.2622576610,-45.7011852197
2.6382582864,0.2632582864,-45.6008809830
2.6392589118,0.2642589118,-45.5480624916
2.6402595372,0.2652595372,-45.5343688910
2.6412601626,0.2662601626,-45.5562889524
2.6422607880,0.2672607880,-45.6138074701
2.6432614134,0.2682614134,-45.7104051719
2.6442620388,0.2692620388,-45.8544122184
2.6452626642,0.2702626642,-46.0630028271
2.6462632896,0.2712632896,-46.3740825522
2.6472639149,0.2722639149,-46.8934770419
2.6482645403,0.2732645403,-48.2204655926
2.6492651657,0.2742651657,-47.5683854551
2.6502657911,0.2752657911,-46.6237497999
2.6512664165,0.2762664165,-46.1409125552
2.6522670419,0.2772670419,-45.8168759397
2.6532676673,0.2782676673,-45.5759917657
2.6542682927,0.2792682927,-45.3874267531
2.6552689181,0.2802689181,-45.2355029783
2.6562695435,0.2812695435,-45.1111351366
2.6572701689,0.2822701689,-45.0085803479
2.6582707942,0.2832707942,-44.9239778475
2.6592714196,0.2842714196,-44.8546119525
2.6602720450,0.2852720450,-44.7985068428
2.6612726704,0.2862726704,-44.7541886818
2.6622732958,0.2872732958,-44.7205386032
2.6632739212,0.2882739212,-44.6966980929
2.6642745466,0.2892745466,-44.6820061442
2.6652751720,0.2902751720,-44.6759565580
2.6662757974,0.2912757974,-44.6781685527
2.6672764228,0.2922764228,-44.6883665447
2.6682770482,0.2932770482,-44.7063665444
2.6692776735,0.2942776735,-44.7320675988
2.6702782989,0.2952782989,-44.7654473601
2.6712789243,0.2962789243,-44.8065613327
2.6722795497,0.2972795497,-44.8555457344
2.6732801751,0.2982801751,-44.9126242870
2.6742808005,0.2992808005,-44.9781196873
2.6752814259,0.3002814259,-45.0524710878
2.6762820513,0.3012820513,-45.1362597805
2.6772826767,0.3022826767,-45.2302466361
2.6782833021,0.3032833021,-45.3354271324
2.6792839275,0.3042839275,-45.4531138092
2.6802845528,0.3052845528,-45.5850633740
2.6812851782,0.3062851782,-45.7336800935
2.6822858036,0.3072858036,-45.9023571099
2.6832864290,0.3082864290,-46.0960849407
2.6842870544,0.3092870544,-46.3226247878
2.6852876798,0.3102876798,-46.5950217888
2.6862883052,0.3112883052,-46.9378544894
2.6872889306,0.3122889306,-47.4068392485
2.6882895560,0.3132895560,-48.1841070604
2.6892901814,0.3142901814,-51.2775239515
2.6902908068,0.3152908068,-48.2263519996
2.6912914321,0.3162914321,-47.6302651296
2.6922920575,0.3172920575,-47.3123524073
2.6932926829,0.3182926829,-47.1139831213
2.6942933083,0.3192933083,-46.9844614724
2.6952939337,0.3202939337,-46.9011861758
2.6962945591,0.3212945591,-46.8522594433
2.6972951845,0.3222951845,-46.8308039575
2.6982958099,0.3232958099,-46.8326545072
2.6992964353,0.3242964353,-46.8552869765
2.7002970607,0.3252970607,-46.8972831433
2.7012976861,0.3262976861,-46.9580627848
2.7022983114,0.3272983114,-47.0377724362
2.7032989368,0.3282989368,-47.1372897377
2.7042995622,0.3292995622,-47.2583440424
2.7053001876,0.3303001876,-47.4037960489
2.7063008130,0.3313008130,-47.5781902188
2.7073014384,0.3323014384,-47.7888557754
2.7083020638,0.3333020638,-48.0482786572
2.7093026892,0.3343026892,-48.3799560971
2.7103033146,0.3353033146,-48.8364313444
2.7113039400,0.3363039400,-49.5834286563
2.7123045654,0.3373045654,-53.6675408319
2.7133051907,0.3383051907,-49.7750580933
2.7143058161,0.3393058161,-49.1660355303
2.7153064415,0.3403064415,-48.8632842959
2.7163070669,0.3413070669,-48.6939689212
2.7173076923,0.3423076923,-48.6063619236
2.7183083177,0.3433083177,-48.5799419925
2.7193089431,0.3443089431,-48.6071497457
